accuracy,kappa,latency_us,pool_memory_kb,active_memory_kb,final_pool_size,mean_active_size,drift_count,stream,method,seed,wall_time_s
0.8060073712784975,0.5949338458591111,261.1204781514166,1948.4482421875,1948.4482421875,2,2.331858407079646,55.0,Electricity,DSPP-Lite,0,44.052040576934814
0.8539206815122156,0.6987362984893264,252.18602736606437,1375.56640625,540.927734375,6,2.47787610619469,35.0,Electricity,DSPP-Adaptive,0,49.49620079994202
0.8067577409459071,0.5935549062993752,178.39197581272342,6121.0166015625,2009.7099609375,6,2.0,0.0,Electricity,StaticSPP-Lite,0,29.189796686172485
0.8568118117013529,0.7048508327694271,247.61417176385356,1375.67578125,540.435546875,6,2.0,0.0,Electricity,StaticSPP-Adaptive,0,50.22903752326965
0.8066253227693054,0.5969698265152749,181.39754572745537,6120.7373046875,2955.00390625,6,2.446902654867257,0.0,Electricity,StaticSPPFullSearch-Lite,0,29.590388298034668
0.8539206815122156,0.6987362984893264,254.13047241275228,1376.470703125,540.65234375,6,2.47787610619469,0.0,Electricity,StaticSPPFullSearch-Adaptive,0,50.12543272972107
0.8256273311116505,0.6379285787281086,184.0824083241492,866.517578125,866.517578125,10,10.0,,Electricity,OB,0,35.94086956977844
0.8956544768378539,0.7856371740802702,212.83066695375464,3730.796875,3730.796875,10,10.0,,Electricity,LB,0,126.57543325424194
0.8864072741718346,0.7667502665586241,177.14298534537892,10644.8681640625,10644.8681640625,10,10.0,,Electricity,ARF,0,59.886276960372925
0.8810664077155658,0.755110036393012,203.3276127302634,4363.5224609375,4363.5224609375,10,10.0,,Electricity,SRP,0,140.02566647529602
0.8043080046787756,0.5912234206530316,133.59989250107674,1189.1162109375,1189.1162109375,2,2.336283185840708,58.0,Electricity,DSPP-Lite,1,19.1102237701416
0.8578490874180662,0.7075451704656949,224.6319330195981,1497.1748046875,667.8681640625,4,2.398230088495575,33.0,Electricity,DSPP-Adaptive,1,43.15157651901245
0.8092074772130388,0.5999658478483254,170.66422161965443,6483.9599609375,2040.7392578125,6,2.0,0.0,Electricity,StaticSPP-Lite,1,27.74277400970459
0.8607181479111032,0.7134674818746772,233.4345650158584,2007.8427734375,668.4853515625,6,2.0,0.0,Electricity,StaticSPP-Adaptive,1,47.951218128204346
0.8091191984286377,0.6013788147630551,170.50160992622307,6484.4462890625,2221.0927734375,6,2.4424778761061945,0.0,Electricity,StaticSPPFullSearch-Lite,1,27.73504137992859
0.8593498267528856,0.7108229754995541,251.52087202044177,2008.24609375,668.6025390625,6,2.433628318584071,0.0,Electricity,StaticSPPFullSearch-Adaptive,1,50.28503847122192
0.8286288097812893,0.6441904505740162,185.25569540056293,866.4189453125,866.4189453125,10,10.0,,Electricity,OB,1,36.302525997161865
0.8950585950431462,0.7843554684096794,204.9824502560363,4982.3037109375,4982.3037109375,10,10.0,,Electricity,LB,1,123.78102803230286
0.8885701043896626,0.7710661196650848,175.154317223094,7310.0244140625,7310.0244140625,10,10.0,,Electricity,ARF,1,54.78843379020691
0.88294233188409,0.7588287422640057,219.17057183579388,3257.037109375,3257.037109375,10,10.0,,Electricity,SRP,1,154.2085566520691
0.8061312322055221,0.5951707757873509,105.71963671845609,366.484375,366.484375,2,2.2035398230088497,64.0,Electricity,DSPP-Lite,2,15.409143924713137
